ID,saldo_var30,var15,saldo_var8,var38,saldo_medio_var5_hace3,saldo_medio_var5_ult3,num_var45_ult3,TARGET
1,0.0,23,0.0,39205.17,0.0,0.0,0,0
3,300.0,34,0.0,49278.03,88.89,0.0,0,0
4,3.0,23,0.0,67333.77,0.18,2.07,0,0
8,70.62,37,0.0,64007.97,0.0,138.84,48,0
10,135003.0,39,0.0,117310.979016494,0.3,13501.47,0,0
13,0.0,23,0.0,87975.75,0.0,0.0,0,0
14,3.0,27,0.0,94956.66,0.42,2.13,0,0
18,3.0,26,0.0,251638.95,0.0,2.94,0,0
20,0.0,45,0.0,101962.02,0.0,0.0,0,0
23,3.0,25,0.0,356463.06,0.0,2.91,0,0
25,12748.23,42,12748.23,125424.06,0.0,0.0,51,0
26,0.0,26,0.0,75368.52,0.0,0.0,0,0
29,90.0,51,0.0,122220.09,29.04,69.69,9,0
31,120000.0,43,0.0,118436.97,39999.99,54623.64,33,0
32,3358.74,33,3358.74,95294.13,99.33,0.0,21,0
34,3.0,30,0.0,104403.87,0.96,2.31,0,0
36,0.0,44,0.0,117310.979016494,0.0,0.0,0,0
39,3079.05,36,0.0,153014.13,95.07,220.8,189,0
42,9003.0,55,0.0,168943.23,0.0,1930.62,48,0
43,30.0,28,0.0,96601.14,15.03,25.02,0,0
45,0.0,23,0.0,69165.03,0.0,0.0,0,0
49,3.0,27,0.0,63445.56,1.08,2.37,0,0
51,37.56,35,0.0,117310.979016494,23.1,13.68,24,0
54,75.75,54,0.0,59575.62,0.3,59.49,33,0
56,0.0,42,0.0,117310.979016494,0.0,0.0,0,0
60,24633.84,40,24633.84,78390.81,0.0,0.0,30,0
61,0.0,23,0.0,86262.21,0.0,0.0,0,0
66,0.0,25,0.0,55568.1,0.0,0.0,0,0
68,6.0,24,0.0,34880.28,1.2,4.41,0,0
74,67.56,23,0.0,126815.97,73.35,89.85,36,0
75,0.0,14,0.0,101789.79,0.0,0.0,0,0
77,0.0,66,0.0,63324.9,0.0,0.0,0,1
80,0.0,26,0.0,123113.46,0.0,0.0,0,0
82,240.3,25,0.0,60115.23,0.0,187.74,12,0
83,930.0,42,0.0,117310.979016494,0.0,59.04,18,0
84,0.0,23,0.0,66112.08,0.0,0.0,0,0
87,0.0,39,0.0,47546.46,0.0,0.0,0,0
88,49.02,39,0.0,117310.979016494,0.0,12.72,15,0
90,90.0,23,0.0,44631.63,43.56,74.52,6,0
91,3.0,24,0.0,75546.15,1.77,2.58,0,0
92,0.0,50,0.0,112968.33,0.0,0.0,0,0
93,90.0,22,0.0,150347.88,0.0,90.0,0,0
95,3.0,25,0.0,96674.94,0.69,2.22,0,0
101,3.0,24,0.0,56161.53,2.67,2.88,0,0
102,6.03,62,0.0,123380.37,0.0,314.61,75,0
105,0.0,23,0.0,90175.05,0.0,0.0,0,0
106,3.0,23,0.0,155235.3,0.63,2.22,0,0
107,27300.0,42,0.0,43998.48,7310.04,2636.67,12,0
109,90.0,24,0.0,114497.61,66.0,81.99,12,0
111,0.0,60,0.0,237000.24,0.0,0.0,6,0
113,144088.23,42,0.0,245388.78,6.96,5898.18,60,0
115,90.0,22,0.0,76889.91,20.34,66.78,0,0
118,0.0,64,0.0,84896.85,0.0,0.0,0,0
