ID,saldo_var30,var15,saldo_var5,ind_var30,var38,TARGET
1,0.0,23,0.0,0,39205.17,0
3,300.0,34,0.0,1,49278.03,0
4,3.0,23,3.0,1,67333.77,0
8,70.62,37,70.62,1,64007.97,0
10,135003.0,39,0.0,1,117310.979016494,0
13,0.0,23,0.0,0,87975.75,0
14,3.0,27,3.0,1,94956.66,0
18,3.0,26,3.0,1,251638.95,0
20,0.0,45,0.0,0,101962.02,0
23,3.0,25,3.0,1,356463.06,0
25,12748.23,42,0.0,1,125424.06,0
26,0.0,26,0.0,0,75368.52,0
29,90.0,51,90.0,1,122220.09,0
31,120000.0,43,0.0,1,118436.97,0
32,3358.74,33,0.0,1,95294.13,0
34,3.0,30,3.0,1,104403.87,0
36,0.0,44,0.0,0,117310.979016494,0
39,3079.05,36,3079.05,1,153014.13,0
42,9003.0,55,9003.0,1,168943.23,0
43,30.0,28,30.0,1,96601.14,0
45,0.0,23,0.0,0,69165.03,0
49,3.0,27,3.0,1,63445.56,0
51,37.56,35,7.5,1,117310.979016494,0
54,75.75,54,75.75,1,59575.62,0
56,0.0,42,0.0,0,117310.979016494,0
60,24633.84,40,0.0,1,78390.81,0
61,0.0,23,0.0,0,86262.21,0
66,0.0,25,0.0,0,55568.1,0
68,6.0,24,6.0,1,34880.28,0
74,67.56,23,67.56,1,126815.97,0
75,0.0,14,0.0,0,101789.79,0
77,0.0,66,0.0,0,63324.9,1
80,0.0,26,0.0,0,123113.46,0
82,240.3,25,240.3,1,60115.23,0
83,930.0,42,930.0,1,117310.979016494,0
84,0.0,23,0.0,0,66112.08,0
87,0.0,39,0.0,0,47546.46,0
88,49.02,39,49.02,1,117310.979016494,0
90,90.0,23,90.0,1,44631.63,0
91,3.0,24,3.0,1,75546.15,0
92,0.0,50,0.0,0,112968.33,0
93,90.0,22,90.0,1,150347.88,0
95,3.0,25,3.0,1,96674.94,0
101,3.0,24,3.0,1,56161.53,0
102,6.03,62,6.03,1,123380.37,0
105,0.0,23,0.0,0,90175.05,0
106,3.0,23,3.0,1,155235.3,0
107,27300.0,42,300.0,1,43998.48,0
109,90.0,24,90.0,1,114497.61,0
111,0.0,60,0.0,0,237000.24,0
113,144088.23,42,30.0,1,245388.78,0
115,90.0,22,90.0,1,76889.91,0
118,0.0,64,0.0,0,84896.85,0
122,27000.0,76,0.0,1,56913.06,0
125,3.0,26,3.0,1,55562.91,0
127,150.0,23,150.0,1,67685.46,0
130,15.0,40,15.0,1,44286.45,0
131,0.0,26,0.0,0,99522.72,0
132,66.63,31,66.63,1,101700.48,0
134,90.0,23,90.0,1,336550.11,0
135,3939.39,38,3939.39,1,149904.78,0
136,1434.42,41,1434.42,1,59325.75,0
137,0.0,23,0.0,0,51689.55,0
139,0.0,26,0.0,0,191661.84,0
140,3.0,25,3.0,1,169579.74,0
141,0.0,56,0.0,0,95834.85,0
142,3.0,26,3.0,1,39305.16,0
143,3.0,23,3.0,1,41807.67,0
144,0.0,23,0.0,0,165258.42,0
145,0.0,24,0.0,0,36490.74,0
146,90.0,23,90.0,1,117310.979016494,0
148,780.0,28,0.0,1,27443.34,0
150,0.0,35,0.0,0,65554.47,0
151,3.0,24,3.0,1,54182.85,0
152,0.0,25,0.0,0,150676.41,0
153,124740.72,51,0.0,1,41508.24,0
154,0.0,72,0.0,0,117310.979016494,0
155,90.0,25,90.0,1,105994.47,0
156,3.0,23,3.0,1,117310.979016494,0
157,90.0,24,90.0,1,117310.979016494,0
159,182.55,45,182.55,1,124988.25,1
161,0.0,23,0.0,0,190417.68,0
162,0.0,27,0.0,0,125764.98,0
163,120000.0,36,0.0,1,255365.25,0
165,3.0,23,3.0,1,472322.1,0
166,0.0,23,0.0,0,204085.62,0
169,3.0,26,3.0,1,117310.979016494,0
170,30.0,23,30.0,1,101485.23,0
171,0.0,44,0.0,0,174881.82,0
172,12.03,68,12.03,1,117310.979016494,0
173,2287.59,5,0.0,1,102074.61,0
175,3090.0,25,3090.0,1,48160.14,0
176,24.0,25,24.0,1,83856.36,0
177,4287.0,72,4287.0,1,117310.979016494,0
178,90.0,23,90.0,1,149896.02,0
179,3.0,25,3.0,1,158522.37,0
180,0.0,23,0.0,0,208818.99,0
182,0.0,56,0.0,0,23169.78,0
183,0.0,25,0.0,0,200807.07,0
184,90.0,23,90.0,1,165635.1,0
186,3.0,23,3.0,1,64978.32,0
188,90.0,33,90.0,1,395158.38,0
191,35.34,23,35.34,1,40034.1,0
192,90.0,23,90.0,1,117310.979016494,0
193,300000.0,77,0.0,1,49965.87,0
195,15.0,28,15.0,1,93861.78,0
196,26.4,29,26.4,1,194717.55,0
199,3.0,42,3.0,1,52629.36,0
200,3.0,25,3.0,1,70804.53,0
202,0.0,38,0.0,0,117310.979016494,0
203,0.0,45,0.0,0,84785.85,0
204,3.0,30,3.0,1,69981.72,0
206,5220.0,40,5220.0,1,75410.37,0
207,90019.29,76,0.0,1,53029.5,0
209,187.08,37,187.08,1,45221.04,0
210,3.0,23,3.0,1,44064.93,0
212,0.0,23,0.0,0,59163.0,0
213,14340.6,55,0.0,1,117310.979016494,0
214,0.0,23,0.0,0,100797.03,0
215,3181.17,54,3181.17,1,89774.01,0
217,2160.0,35,2160.0,1,117310.979016494,0
218,3.0,30,3.0,1,65978.88,0
220,90060.0,42,60.0,1,69591.48,1
221,0.0,23,0.0,0,185447.22,0
222,30.0,28,30.0,1,84396.69,0
225,15.0,23,15.0,1,58777.29,0
227,90.0,23,90.0,1,105520.71,0
228,0.0,31,0.0,0,131774.97,0
231,12150.0,41,12150.0,1,86507.55,0
232,660.0,28,660.0,1,64311.36,0
233,3.0,24,3.0,1,294013.05,0
234,105000.0,63,0.0,1,186236.34,0
235,0.0,23,0.0,0,117310.979016494,0
236,3.0,38,3.0,1,69048.78,0
239,210000.0,43,0.0,1,117310.979016494,0
241,300401.55,45,0.0,1,86410.5,0
242,3.0,23,3.0,1,130432.38,0
244,3.0,27,3.0,1,108845.91,0
252,0.0,23,0.0,0,65222.07,0
253,839.91,32,839.91,1,101456.79,0
254,915.0,57,915.0,1,210509.67,0
258,0.0,36,0.0,0,89128.44,0
259,15.0,36,15.0,1,57912.57,0
262,3.0,23,3.0,1,45928.5,0
265,0.0,28,0.0,0,91723.26,0
266,21.3,34,21.3,1,30024.12,0
269,0.0,23,0.0,0,117310.979016494,0
270,1800.0,55,1200.0,1,110976.39,0
271,216.3,80,216.3,1,96648.51,0
273,159061.5,37,61.5,1,117310.979016494,0
276,90.0,51,90.0,1,79014.9,0
279,3.6,29,3.6,1,111410.58,0
285,799.83,31,799.83,1,56467.44,0
287,90.0,26,90.0,1,42978.45,0
288,0.0,25,0.0,0,61648.44,0
289,90.0,23,90.0,1,117310.979016494,0
292,0.0,38,0.0,0,58084.53,0
294,0.0,55,0.0,0,117310.979016494,0
296,75750.0,60,0.0,1,239396.13,0
299,90.0,24,90.0,1,79688.37,0
301,93.0,26,93.0,1,71930.34,0
302,80.91,31,80.91,1,117310.979016494,0
303,0.0,31,0.0,0,45265.38,1
306,0.0,62,0.0,0,109595.55,1
307,3015.0,27,3015.0,1,117310.979016494,0
311,3433.65,56,3433.65,1,63648.57,0
314,45006.0,52,45006.0,1,81591.75,0
316,1143.27,24,1143.27,1,117310.979016494,0
319,0.0,29,0.0,0,36969.45,0
320,30.0,23,30.0,1,48426.3,0
322,0.3,23,0.3,1,95712.93,0
324,0.0,32,0.0,0,54689.01,0
332,30000.0,38,0.0,1,117310.979016494,0
333,3.0,24,3.0,1,157526.34,0
340,3.0,24,3.0,1,95251.92,1
342,3.6,23,3.6,1,68632.98,0
344,0.0,23,0.0,0,203424.36,0
345,0.0,23,0.0,0,117310.979016494,0
347,90.0,23,90.0,1,117310.979016494,0
349,0.0,23,0.0,0,234692.94,0
353,0.0,57,0.0,0,117310.979016494,1
354,0.0,25,0.0,0,172933.98,0
355,90.0,30,90.0,1,150948.42,0
356,8451.96,36,8451.96,1,64822.17,0
359,90.0,22,90.0,1,237627.24,0
362,3.0,24,3.0,1,84466.38,0
363,573.21,61,573.21,1,117310.979016494,0
369,3.0,23,3.0,1,117310.979016494,0
371,0.0,32,0.0,0,98212.23,1
373,0.0,30,0.0,0,183841.44,0
374,0.0,31,0.0,0,57358.74,0
375,153.0,26,153.0,1,117310.979016494,0
378,3.0,27,3.0,1,145599.06,0
382,0.0,23,0.0,0,174618.3,0
383,0.0,23,0.0,0,38522.64,0
384,3.0,32,3.0,1,117310.979016494,0
387,3.0,23,3.0,1,117310.979016494,0
388,0.0,23,0.0,0,22237.38,0
390,3.0,23,3.0,1,112511.97,0
394,2090.4,71,0.0,1,165191.58,0
402,0.0,23,0.0,0,347962.41,0
404,3.0,23,3.0,1,38308.23,0
407,19590.0,36,1500.0,1,92121.36,0
408,0.0,29,0.0,0,50972.85,0
410,54.15,25,0.0,1,416583.03,0
412,0.0,45,0.0,0,71501.1,0
414,0.0,23,0.0,0,1374570.75,0
415,131697.09,88,0.0,1,141187.53,0
416,3.0,24,3.0,1,59316.45,0
417,165851.34,45,0.0,1,63203.34,0
420,3.0,39,3.0,1,117310.979016494,0
421,90.0,23,90.0,1,36780.45,0
423,322.74,59,322.74,1,167222.52,0
426,90.0,36,90.0,1,96494.16,0
428,3.0,23,3.0,1,412668.78,0
429,137.22,30,137.22,1,116531.64,0
432,30.0,23,30.0,1,182846.85,0
433,591000.0,53,141000.0,1,78252.81,0
436,90.0,23,90.0,1,117310.979016494,0
440,0.0,33,0.0,0,117310.979016494,0
441,56.55,23,56.55,1,170310.93,0
443,90.0,23,90.0,1,30290.64,0
444,199.44,44,199.44,1,74486.55,0
445,0.0,23,0.0,0,117310.979016494,0
447,0.0,23,0.0,0,117310.979016494,0
448,0.0,24,0.0,0,107570.16,0
449,3.0,23,3.0,1,83948.1,0
453,3.0,25,3.0,1,22763.58,0
456,60.0,44,60.0,1,117310.979016494,0
457,0.0,37,0.0,0,154851.96,0
458,3.0,31,3.0,1,45678.3,0
459,3.0,23,3.0,1,57561.63,0
460,60.0,23,60.0,1,39815.55,0
461,3.0,38,3.0,1,48861.0,0
462,0.0,23,0.0,0,93648.99,0
466,10651.08,55,0.0,1,359419.14,0
469,0.0,24,0.0,0,120388.89,0
471,0.0,23,0.0,0,54443.31,0
474,18.57,60,18.57,1,80056.14,0
477,0.0,28,0.0,0,117310.979016494,0
478,1500.0,34,1500.0,1,83266.14,0
480,300.0,64,300.0,1,186291.03,0
482,3.0,26,3.0,1,117310.979016494,0
485,3.0,25,3.0,1,65166.39,0
488,0.0,23,0.0,0,117310.979016494,0
489,30.0,23,30.0,1,117310.979016494,0
490,120.0,24,120.0,1,61771.95,0
492,93000.0,33,0.0,1,117310.979016494,0
493,45.0,34,45.0,1,117310.979016494,0
496,0.0,23,0.0,0,71070.3,0
500,1353.93,27,1353.93,1,268640.97,0
501,3.0,24,3.0,1,283117.71,0
502,600.54,36,600.54,1,115657.23,0
513,0.0,100,0.0,0,96617.22,0
514,1.5,38,1.5,1,105827.07,0
515,0.0,24,0.0,0,50527.26,0
517,3.0,23,3.0,1,117310.979016494,0
523,90.0,23,90.0,1,50647.68,0
527,1514.01,31,1514.01,1,87471.24,0
530,0.0,28,0.0,0,40853.31,1
533,0.0,28,0.0,0,386898.18,0
535,5070.0,37,5070.0,1,156278.34,0
537,4175.7,43,4175.7,1,117310.979016494,0
538,0.0,52,0.0,0,117310.979016494,0
543,150.0,22,150.0,1,79380.0,0
544,18.0,27,18.0,1,104087.28,0
547,90.0,22,90.0,1,88460.91,0
548,125.01,32,125.01,1,65961.69,0
549,0.0,30,0.0,0,157787.19,1
550,0.0,55,0.0,0,117310.979016494,0
551,0.0,38,0.0,0,62581.86,0
553,0.0,27,0.0,0,119530.92,0
554,3.0,24,3.0,1,117310.979016494,0
555,210.0,43,210.0,1,117310.979016494,0
558,3.0,23,3.0,1,71858.94,0
560,0.0,23,0.0,0,117310.979016494,0
561,233.64,25,233.64,1,79973.88,0
564,60003.0,60,3.0,1,137151.15,0
566,37171.32,51,37171.32,1,87288.69,0
567,300250.44,74,15.0,1,196439.1,0
568,0.0,23,0.0,0,90773.76,0
571,15.0,27,15.0,1,117310.979016494,0
572,480.6,26,480.6,1,182891.07,0
573,450.0,23,450.0,1,234128.46,0
576,3.0,25,3.0,1,117310.979016494,0
577,30000.0,32,0.0,1,155866.5,0
578,3.0,32,3.0,1,80623.89,0
579,3.0,26,3.0,1,117310.979016494,0
580,183.0,24,183.0,1,108933.27,0
581,30.0,23,30.0,1,117310.979016494,0
582,90.0,22,90.0,1,117310.979016494,0
583,75003.0,86,3.0,1,117716.88,0
584,0.0,31,0.0,0,81199.74,0
586,60.0,39,60.0,1,149428.89,0
587,3.0,25,3.0,1,55279.29,0
588,15.0,63,15.0,1,273655.38,0
591,75000.0,59,0.0,1,51297.51,0
596,300117.78,44,117.78,1,72815.4,0
598,0.0,40,0.0,0,191698.29,0
599,741.09,40,741.09,1,52962.45,0
600,1.2,44,1.2,1,26619.24,1
602,390.0,30,390.0,1,39143.34,0
606,3.0,28,3.0,1,117310.979016494,0
609,25332.66,34,25332.66,1,117310.979016494,0
611,1134.39,52,1134.39,1,114905.67,0
614,11249.13,52,11249.13,1,80705.76,0
618,90.0,23,90.0,1,144837.0,0
622,90.0,23,90.0,1,37727.49,0
623,90.0,24,90.0,1,108908.34,0
626,30.9,28,30.9,1,63611.34,0
627,3.0,23,3.0,1,117310.979016494,0
631,1.2,36,1.2,1,42264.45,1
633,3.0,27,3.0,1,328239.84,0
635,90.0,28,90.0,1,81088.2,0
636,0.0,30,0.0,0,53549.49,0
639,0.0,29,0.0,0,233512.68,0
640,105.0,23,105.0,1,85286.28,0
641,2.13,25,2.13,1,141630.39,0
645,0.0,25,0.0,0,175566.93,0
647,3.0,30,3.0,1,58371.54,0
648,3.0,23,3.0,1,83551.41,0
649,3.0,27,3.0,1,66866.58,0
650,3.0,24,3.0,1,232500.45,0
651,25.5,37,25.5,1,128121.45,0
652,3.0,24,3.0,1,31092.45,0
653,0.0,38,0.0,0,57485.28,1
654,15.0,25,15.0,1,117310.979016494,0
656,1050.0,33,0.0,1,90380.61,0
657,30.0,73,30.0,1,127201.86,0
658,3.0,24,3.0,1,85641.42,0
659,30.0,23,30.0,1,69193.17,0
661,3.0,29,3.0,1,124590.3,0
662,60.42,35,60.42,1,120032.46,0
663,750.0,37,750.0,1,97978.05,0
667,379.71,23,379.71,1,68097.54,0
668,3.0,28,3.0,1,117310.979016494,0
669,0.0,36,0.0,0,80492.67,1
673,18.57,30,18.57,1,101973.87,0
674,0.0,80,0.0,0,79757.79,0
679,256380.63,50,0.0,1,117310.979016494,0
681,3.0,25,3.0,1,117310.979016494,0
682,139052.76,77,0.0,1,86641.86,0
686,0.0,28,0.0,0,100253.37,0
687,3.0,24,3.0,1,117310.979016494,0
688,3.0,23,3.0,1,103287.6,0
689,976.95,37,976.95,1,117310.979016494,0
690,0.0,35,0.0,0,117310.979016494,0
692,60.0,36,60.0,1,50230.14,0
694,337415.49,48,0.0,1,72054.27,0
695,30.0,23,30.0,1,117310.979016494,0
697,0.54,72,0.54,1,119238.72,0
701,3.0,30,3.0,1,70882.5,0
702,118500.0,39,16500.0,1,117310.979016494,0
706,24074.4,45,60.0,1,80073.87,0
708,90.0,22,90.0,1,64866.96,0
710,74.01,25,74.01,1,54887.1,0
712,96003.0,34,3.0,1,107923.98,0
714,3.0,26,3.0,1,86363.31,0
715,3.0,24,3.0,1,117797.64,0
717,30.0,24,30.0,1,67047.6,0
718,90.0,23,90.0,1,75485.82,0
720,21043.17,38,4500.0,1,36178.68,0
725,24015.0,38,24015.0,1,70588.41,0
726,0.0,34,0.0,0,141293.7,1
730,15.0,23,15.0,1,117310.979016494,0
731,105.0,51,105.0,1,51396.93,1
732,39.72,23,39.72,1,117060.3,0
734,3.0,27,3.0,1,117310.979016494,0
735,3.0,23,3.0,1,117310.979016494,0
737,0.0,25,0.0,0,268504.08,0
738,3.12,23,3.12,1,89761.29,0
740,620.25,32,620.25,1,149698.32,0
741,90.0,25,90.0,1,58495.56,0
746,3.0,34,3.0,1,116245.23,0
748,195030.0,48,30.0,1,92912.4,0
753,0.0,23,0.0,0,117310.979016494,0
754,169500.0,43,0.0,1,94641.24,0
757,2271.84,45,2271.84,1,90883.44,0
758,0.0,23,0.0,0,132356.25,0
759,0.0,34,0.0,0,117310.979016494,0
760,90.0,50,90.0,1,114088.98,0
761,48.36,29,48.36,1,324294.3,0
767,2760.0,41,2760.0,1,124095.3,0
768,249600.66,39,0.0,1,117310.979016494,0
771,3.0,30,3.0,1,117310.979016494,0
772,1200.27,37,1200.27,1,131087.7,0
775,101202.21,46,600.0,1,544584.84,0
782,3.0,29,3.0,1,29016.0,0
783,1672.53,31,1672.53,1,80969.94,0
784,3897.3,30,0.0,1,132050.88,0
785,0.0,24,0.0,0,105229.11,0
787,3.0,23,3.0,1,117310.979016494,0
789,3.0,23,3.0,1,52148.37,0
790,3.0,23,3.0,1,43674.3,0
791,3.0,26,3.0,1,77630.16,0
792,3.0,27,3.0,1,131441.67,1
793,90.0,23,90.0,1,117310.979016494,0
795,356.7,52,356.7,1,75652.56,0
797,0.0,23,0.0,0,131846.31,0
798,167.07,34,167.07,1,119707.2,0
799,300667.53,51,303.0,1,49596.15,0
800,0.0,23,0.0,0,115169.73,0
806,600.0,24,600.0,1,117310.979016494,0
807,90.0,24,90.0,1,99165.99,0
808,0.0,23,0.0,0,101220.81,0
811,0.0,23,0.0,0,116524.8,0
